분야,점검항목,세부내용,현재현황,정책요구사항,준수여부,위험도,보완방안,관련법규,비고
관리적,드론통신보안정책,드론-GCS 통신 보안정책,기본 통신정책,암호화통신 의무,부분준수,상,드론통신 전용정책 수립,전파법,
관리적,드론운용절차,드론 운용 보안절차,운용매뉴얼 보유,보안강화 절차 필요,부분준수,중,보안운용절차 고도화,,
관리적,드론조종사교육,조종사 보안교육,기본 교육 실시,전문 보안교육,부분준수,중,전문교육과정 개발,,
물리적,GCS물리보안,지상관제시스템 물리보안,제한구역 관리,통제구역 수준 관리,부분준수,중,GCS 통제구역 지정,보안업무규정,
물리적,드론보관보안,드론 보관시설 보안,기본 창고 보관,전용 보안시설,부분준수,중,드론 전용 보안창고,,
물리적,안테나보안,통신안테나 물리보안,펜스 설치,전자경비시설,부분준수,중,전자경비시설 설치,,
기술적,드론통신암호화,드론-GCS 암호화,AES-256 적용,군급 암호화,준수,하,-,정보통신망법,
기술적,주파수보안,주파수 도약 기술,FHSS 부분 적용,완전한 FHSS 적용,부분준수,상,FHSS 고도화,전파법,
기술적,상호인증,드론-GCS 상호인증,기본 인증만,강화된 상호인증,미준수,상,TLS 상호인증 적용,,
기술적,명령무결성,드론 명령 무결성,HMAC 미적용,디지털서명 필요,미준수,상,디지털서명 적용,,
기술적,위치보안,드론 위치정보 보안,기본 암호화,강화된 위치보안,부분준수,중,위치정보 추가암호화,,
기술적,영상보안,드론 영상 암호화,H.264 암호화,군급 영상암호화,부분준수,중,영상 End-to-End 암호화,,
기술적,안티재밍,전자전 대응 능력,기본 안티재밍,고도화된 대응,부분준수,상,안티재밍 기술 고도화,,
기술적,드론인증,드론 개체 인증,기본 ID 인증,블록체인 기반 인증,부분준수,중,블록체인 인증 도입,,
기술적,텔레메트리보안,텔레메트리 데이터 보안,기본 암호화,실시간 암호화,준수,하,-,,
기술적,FPV보안,1인칭시점 영상 보안,기본 전송,암호화 전송,부분준수,중,FPV 암호화 적용,,
망분리,드론망분리,드론망 독립성,논리적 분리,물리적 분리 권고,부분준수,중,드론망 물리적 분리,망분리가이드,
망분리,GCS접근통제,GCS 접근통제,기본 인증,다중인증 필요,부분준수,상,MFA 적용,,
망분리,드론데이터보호,수집데이터 보호,기본 저장,암호화 저장,부분준수,중,데이터 암호화 저장,,
모니터링,드론상태모니터링,드론 상태 실시간 모니터링,기본 모니터링,통합 모니터링,부분준수,중,통합모니터링시스템,,
