분야,점검항목,세부내용,현재현황,정책요구사항,준수여부,위험도,보완방안,관련법규,비고
관리적,OT보안조직,OT전용 보안조직 구성,IT보안팀에서 겸무,OT전담 보안조직 필요,부분준수,중,OT보안 전문인력 배치,방위산업기술보호법,
관리적,OT보안정책,OT망 전용 보안정책 수립,일반 정보보호정책에 포함,OT전용 정책 별도 수립,부분준수,중,OT보안정책 분리 작성,산업제어시스템보안가이드,
관리적,공급망보안,OT장비 공급업체 보안평가,기본 계약심사만 실시,공급망 보안평가 의무,미준수,상,공급업체 보안인증 요구,공급망보안가이드,
물리적,생산구역분리,생산구역 물리적 분리,출입카드 통제,생체인식 기반 접근통제,부분준수,중,생체인식시스템 도입,보안업무규정,
물리적,생산설비보안,생산라인 물리적 보호,CCTV 30대 설치,24시간 모니터링 체계,준수,하,-,물리보안규정,
물리적,OT네트워크분리,IT망과 물리적 분리,MILS-F01 1대 운영,완전한 물리적 분리,준수,하,-,망분리보안가이드,
기술적,산업용방화벽,OT전용 방화벽 구축,산업용방화벽 1대,OT프로토콜 지원,준수,하,-,,
기술적,OT침입탐지,OT전용 IDS/IPS,OT-IPS 1대 운영,실시간 위협탐지,준수,하,-,,
기술적,생산제어보안,PLC 보안통제,기본 패스워드 사용,강화된 인증 필요,미준수,상,PLC 보안 강화,산업제어시스템보안가이드,
기술적,프로토콜보안,산업프로토콜 암호화,Modbus TCP 평문,프로토콜 암호화 적용,미준수,상,산업프로토콜 암호화,,
기술적,OT패치관리,생산시스템 패치관리,수동 패치 적용,자동화된 패치관리,부분준수,중,OT전용 패치관리시스템,,
기술적,백업및복구,생산데이터 백업,주간 백업 실시,일일 백업 권고,부분준수,중,백업 주기 단축,,
기술적,시간동기화,OT시스템 시간동기화,NTP 서버 사용,보안 NTP 적용,준수,하,-,,
기술적,로그관리,OT이벤트 로깅,기본 로깅만 실시,통합 로그관리,부분준수,중,SIEM 연동 강화,,
망분리,MILS구성,망연계 보안장비,MILS-F01 1대,이중화 구성 권고,부분준수,중,MILS 이중화 구성,망분리기술가이드,
망분리,데이터전송통제,망간 데이터 전송,승인된 데이터만 전송,실시간 승인통제,부분준수,중,데이터전송 자동승인시스템,,
망분리,접근권한관리,OT망 접근권한,역할기반 접근통제,최소권한 원칙,준수,하,-,,
망분리,망간모니터링,망연계 모니터링,기본 로그 수집,실시간 모니터링,부분준수,중,망연계 전용 모니터링,,
보안교육,OT보안교육,생산직 보안교육,분기 1회 실시,월 1회 권고,부분준수,중,교육 주기 단축,,
사고대응,OT사고대응,생산중단 대응절차,매뉴얼 보유,자동화된 대응,부분준수,중,자동 대응시스템 구축,,
모니터링,생산모니터링,생산현황 실시간 모니터링,기본 모니터링,통합 대시보드,부분준수,중,통합모니터링 대시보드,,
